label,text,text_clean
complain,I didn't like the taste of the pizza,
complain,The pizza had a very bad taste,
order,I want a medium pizza and one large.,
menu,What is the size of the large pizza?,
menu,Do you have a pizza with extra bacon?,
order,Can I order a pizza per phone?,
delivery,Do you deliver to Oranit?,
menu,Is the pizza kosher?,
order,Probably a pizza with onion is what I want,
order,I'd like to pay with cash,
order,Can I order a pizza online?,
delivery,why is the delivery taking so long?,
delivery,where can i find my delivery status?,
opening-times,when is the latest you open the pizza papa?,
delivery,how long does it take for the delivery to arrive?,
menu,How do you make the pizza dough?,
menu,Do you have a pizza with extra onions?,
complain,the pizza was cold and the delivery was late.,
complain,I ordered a pizza without toppings and and got a pepperoni pizza.,
menu,Do you have gluten free pizza in the menu?,
order,I'd like to pay with my credit card,
menu,I want to know if you have pizza for vegans,
opening-times,is the place open?,
delivery,I want to order delivery to asheklon,
order,"I want to order a pizza with ham, anchovies and olives",
menu,what is your vegan option?,
order,I would order a pizza with extra cheese on top,
complain,"the pizza had too much cheese, I want a refund now!",
complain,"I'm waiting for the pizza too much time!, I want a refund.",
order,I want to order a pizza with anchovies and olives,
menu,Do you have a pizza with extra beef?,
order,I'd like to pay with my credit card,
complain,First time ordering and the pizza came an hour late and cold. I'll never order from you again!!!,
order,I'd like to pay with PayPal,
opening-times,when are you open on easter?,
opening-times,do you work night shifts?,
complain,"the pizza had a bd smell, did not want to eat it. so disappointed.",
complain,The pizza had too much cheese and didn't taste good,
menu,do you have a menu?,
delivery,"I'm waiting for my delivery above 80 minutes, please call 0502232585",
order,I want to order a pizza with pepperoni,
delivery,where can i find the number of the delivery man?,
menu,What is your price for a family pizza?,
menu,Do you have a special price for children?,
opening-times,what time will you open the pizza place?,
delivery,where is my order?,
opening-times,are you open right now?,
menu,What is the name of the yellow cheese pizza?,
delivery,where can i see how long it will take the delivery guy to arrive at my place?,
order,What payment methods do you accept?,
menu,Do you have kosher pizza?,
order,I want a small pizza.,
complain,The pizza taste is not fresh.,
delivery,delivery status,
menu,How many kosher pizza's do you have?,
delivery,where can i see how long it will take my delivery to arrive,
complain,"I'm waiting for my refund, there was too much cheese inside.",
delivery,where can i see all information about my delevery,
order,I want to order a pizza with ham and olives,
order,I want a small pizza and two large.,
menu,What is your cheapest pizza?,
delivery,I want to order delivery to rishon lezion,
order,I want a large pizza.,
delivery,i order and my delivery wasn't arrived yet.,
complain,you gave me the wrong pizza,
opening-times,until what time you take orders?,
delivery,"wrote my delivery adress wrong, how can i change it",
complain,the wrong oder came.,
opening-times,when are you open this month?,
order,I want pizza Margherita with olives,
delivery,How long it takes you to deliver the pizza to floor 21 on Asriely tower?,
complain,"I waited too much for the pizza and it was cold, it's not ok that I need to warm it in the oven.",
delivery,my order has not arrived yet.,
menu,Is there a gulten free option on your menu?,
order,i want a small pizza and one large.,
complain,"I'm waiting for the pizza, it's been too long, I want a refund.",
delivery,what are your delivery methods?,
menu,What are your specials today?,
order,I want a family size pizza and three medium.,
order,I want a family size pizza.,
delivery,can the delivery guy hand me my order personal,
menu,Do you have a pizza with Olives?,
order,I want a family size pizza and two extra large,
delivery,where is my delivery?,
complain,I hope to get hot pizza it came could.,
menu,Do you have a pizza with extra ham?,
delivery,Mey I order delivery to park ramt gan city?,
complain,the pizza had no toppings even though I included it ,
order,what kind of payment do you accept?,
delivery,"My order didn't arrive yet, when will my order arrive?",
order,I'd like to pay with my debit card,
opening-times,Do you open tomorrow?,
opening-times,are u closed?,
menu,what is your menu?,
opening-times,what time is it open?,
menu,Is there any special over on your pizza?,
order,Do you accept credit cards?,
order,I want Pizza Capri please,
opening-times,Is this restaurant open on Thanksgiving Day?,
menu,"Do you have a pizza with extra cheese, garlic and onions?",
menu,How much does toppings cost?,
order,how do i pay for my order?,
menu,Do you have a pizza with extra sausage?,
delivery,can i decide when my delivery should arrive,
order,"I want to order a pizza with ham, mushrooms and olives",
opening-times,when are you open on new year?,
complain,"i order two large pizza and it came only one, this is unacceptable",
complain,the pizza was too expensive.,
delivery,does delivery take long to arrive?,
menu,Do you have a special price for pizza?,
order,"I want to order a pizza with ham, peppers and mushrooms",
menu,What is the size of the family pizza?,
order,I want Pizza Margherita please,
complain,"You didn't send me my pizza, you instead sent me a pizza of sombody else, this is bad.",
menu,What is your price for a extra large pizza?,
complain,The pizza we got is not baked enough.,
menu,What's your special pizza ?,
delivery,I ordered a pizza do you know where it is?,
menu,How many topings can i had to the pizza?,
complain,the pizza was terrible.,
order,Can I order a pizza please?,
menu,Do you have gluten in your pizza?,
delivery,can't see where my delivery is,
order,I want Pizza Napolean please,
complain,it was so bad it left me with food poisoning for a week.,
order,I want to order a pizza with ham and pineapple,
opening-times,when do you close?,
order,I would probably order an extra pizza,
opening-times,when are you open on sunday?,
complain,I got a wrong pizza I ordered.,
complain,it was so disgusting that i threw it away.,
order,I want to order a pizza with olives,
complain,the pizza had an awful taste and the crust was hard.,
complain,it was bland and tasteless.,
opening-times,when do you open?,
order,order pizza,
opening-times,What time are you closed for orders?,
order,i want to order a family size pizza.,
opening-times,what hurs of the day you work,
complain,"You deliverd only one pizza and i still payed the double price. I want my money back, this is unacceptable!",
menu,What is the size of the medium pizza,
complain,the pizza was cold and the delivery was late.,
delivery,Where is my pizza please?,
opening-times,Is this restaurant open on Christmas Day?,
menu,Do you have pizza for vegetarians?,
opening-times,when are you open on labor day?,
complain,It's really bad that I got somebody else's pizza instead of mine,
complain,"Your pizza is flavorless, I don't like it",
opening-times,when does the pizza place close,
menu,What is your price for a large pizza?,
delivery,"the delivery was supposed to arrive 10 min ago, where is my pizza?",
complain,it came half open and look like some took a bite of the pizza. so nasty.,
delivery,"cant reach the deilvery guy, what is his number?",
opening-times,when are you close this month?,
complain,The order was two lage family pizza we get the regular.,
opening-times,when are you open on thanksgiving?,
menu,The pizza with black olives go with extra cheese?,
order,I want to order a pizza with anchovies,
delivery,how can i contact the delivery guy?,
order,I want to order a pizza with extra cheese,
complain,I couldn't eat the pizza because it was cold and I need to warm it in the oven,
order,how do i cancel my order?,
menu,I'm Jewish so I only eat kosher pizza,
order,I want a family size pizza and one small.,
opening-times,what is your closing time?,
order,I want to order a pizza with pepperoni and onions,
opening-times,Is this restaurant open on Sunday?,
order,I want a pizza and a salad please,
order,I want to order a pizza with peppers,
delivery,how can u reach out to the delivery man?,
complain,We order the spsical pizza and we get the regular one.,
menu,You have many types of pizza's?,
complain,it was so horrible i had to take a shower to wash the taste off my tounge.,
delivery,"the order takes too long, where is my pizza?",
order,I want a large pizza and two extra large.,
complain,I am feeling unhappy. the service was really bad.,
delivery,how can i get the status of my delivery?,
menu,Do you have any special offers?,
opening-times,when are you open in holiday?,
complain,the pizza was really bad and late.,
menu,What options are available in your menu?,
order,I want to order a pizza with anchovies and peppers,
menu,What topings do you have?,
delivery,"my delivery is taking to long, why?",
